User Name;Business Role ID
CLD200-12;SAP_BR_MARKETING_EXPERT
CLD200-13;CUSTOM_BUSINESS_OBJECTS
CLD200-13;CUSTOM_BUSINESS_OBJECTS_UI
CLD200-13;SAP_BR_ADMINISTRATOR
CLD200-13;SAP_BR_MARKETING_EXPERT
CLD200-14;CUSTOM_BUSINESS_OBJECTS
CLD200-14;CUSTOM_BUSINESS_OBJECTS_UI
CLD200-14;SAP_BR_ADMINISTRATOR
CLD200-14;SAP_BR_MARKETING_EXPERT
CLD200-15;CUSTOM_BUSINESS_OBJECTS
CLD200-15;CUSTOM_BUSINESS_OBJECTS_UI
CLD200-15;SAP_BR_ADMINISTRATOR
CLD200-15;SAP_BR_MARKETING_EXPERT
CLD200-16;CUSTOM_BUSINESS_OBJECTS
CLD200-16;CUSTOM_BUSINESS_OBJECTS_UI
CLD200-16;SAP_BR_ADMINISTRATOR
CLD200-16;SAP_BR_MARKETING_EXPERT
CLD200-17;CUSTOM_BUSINESS_OBJECTS
CLD200-17;CUSTOM_BUSINESS_OBJECTS_UI
CLD200-17;SAP_BR_ADMINISTRATOR
CLD200-17;SAP_BR_MARKETING_EXPERT
CLD200-18;CUSTOM_BUSINESS_OBJECTS
CLD200-18;CUSTOM_BUSINESS_OBJECTS_UI
CLD200-18;SAP_BR_ADMINISTRATOR
CLD200-18;SAP_BR_MARKETING_EXPERT
CLD200-19;CUSTOM_BUSINESS_OBJECTS
CLD200-19;CUSTOM_BUSINESS_OBJECTS_UI
CLD200-19;SAP_BR_ADMINISTRATOR
CLD200-19;SAP_BR_MARKETING_EXPERT
CLD200-20;CUSTOM_BUSINESS_OBJECTS
CLD200-20;CUSTOM_BUSINESS_OBJECTS_UI
CLD200-20;SAP_BR_ADMINISTRATOR
CLD200-20;SAP_BR_MARKETING_EXPERT
CP100-00;CUSTOM_BUSINESS_OBJECTS
CP100-00;CUSTOM_BUSINESS_OBJECTS_UI
CP100-00;SAP_BR_ADMINISTRATOR
CP100-00;SAP_BR_MARKETING_EXPERT
CP100-01;CUSTOM_BUSINESS_OBJECTS
CP100-01;CUSTOM_BUSINESS_OBJECTS_UI
CP100-01;SAP_BR_ADMINISTRATOR
CP100-01;SAP_BR_MARKETING_EXPERT
CP100-02;CUSTOM_BUSINESS_OBJECTS
CP100-02;CUSTOM_BUSINESS_OBJECTS_UI
CP100-02;SAP_BR_ADMINISTRATOR
CP100-02;SAP_BR_MARKETING_EXPERT
CP100-03;CUSTOM_BUSINESS_OBJECTS
CP100-03;CUSTOM_BUSINESS_OBJECTS_UI
CP100-03;SAP_BR_ADMINISTRATOR
CP100-03;SAP_BR_MARKETING_EXPERT
CP100-04;CUSTOM_BUSINESS_OBJECTS
CP100-04;CUSTOM_BUSINESS_OBJECTS_UI
CP100-04;SAP_BR_ADMINISTRATOR
CP100-04;SAP_BR_MARKETING_EXPERT
CP100-05;CUSTOM_BUSINESS_OBJECTS
CP100-05;CUSTOM_BUSINESS_OBJECTS_UI
CP100-05;SAP_BR_ADMINISTRATOR
CP100-05;SAP_BR_MARKETING_EXPERT
CP100-06;CUSTOM_BUSINESS_OBJECTS
CP100-06;CUSTOM_BUSINESS_OBJECTS_UI
CP100-06;SAP_BR_ADMINISTRATOR
CP100-06;SAP_BR_MARKETING_EXPERT
CP100-07;CUSTOM_BUSINESS_OBJECTS
CP100-07;CUSTOM_BUSINESS_OBJECTS_UI
CP100-07;SAP_BR_ADMINISTRATOR
CP100-07;SAP_BR_MARKETING_EXPERT
CP100-08;CUSTOM_BUSINESS_OBJECTS
CP100-08;CUSTOM_BUSINESS_OBJECTS_UI
CP100-08;SAP_BR_ADMINISTRATOR
CP100-08;SAP_BR_MARKETING_EXPERT
CP100-09;CUSTOM_BUSINESS_OBJECTS
CP100-09;CUSTOM_BUSINESS_OBJECTS_UI
CP100-09;SAP_BR_ADMINISTRATOR
CP100-09;SAP_BR_MARKETING_EXPERT
CP100-10;CUSTOM_BUSINESS_OBJECTS
CP100-10;CUSTOM_BUSINESS_OBJECTS_UI
CP100-10;SAP_BR_ADMINISTRATOR
CP100-10;SAP_BR_MARKETING_EXPERT
CP100-11;CUSTOM_BUSINESS_OBJECTS
CP100-11;CUSTOM_BUSINESS_OBJECTS_UI
CP100-11;SAP_BR_ADMINISTRATOR
CP100-11;SAP_BR_MARKETING_EXPERT
CP100-12;CUSTOM_BUSINESS_OBJECTS
CP100-12;CUSTOM_BUSINESS_OBJECTS_UI
CP100-12;SAP_BR_ADMINISTRATOR
CP100-12;SAP_BR_MARKETING_EXPERT
CP100-13;CUSTOM_BUSINESS_OBJECTS
CP100-13;CUSTOM_BUSINESS_OBJECTS_UI
CP100-13;SAP_BR_ADMINISTRATOR
CP100-13;SAP_BR_MARKETING_EXPERT
CP100-14;CUSTOM_BUSINESS_OBJECTS
CP100-14;CUSTOM_BUSINESS_OBJECTS_UI
CP100-14;SAP_BR_ADMINISTRATOR
